age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
52,F,African-American,Greater than 45,Medium,Female,21,123,7,Yes,Yes
21,M,Hispanic,Less than 25,Medium,Male,1,-1,5,Yes,Yes
58,F,African-American,Greater than 45,Low,Male,1,-1,1,No,No
27,F,African-American,25 - 45,High,Male,4,-1,8,No,No
28,F,African-American,25 - 45,Low,Male,5,302,4,Yes,Yes
28,F,Caucasian,25 - 45,Medium,Male,1,-1,7,Yes,Yes
31,M,Caucasian,25 - 45,Low,Female,0,-5,3,No,No
30,F,Caucasian,25 - 45,High,Male,11,31,9,Yes,Yes
24,M,African-American,Less than 25,Medium,Male,3,-1,7,No,No
26,F,African-American,25 - 45,High,Male,6,0,9,Yes,Yes
43,M,Caucasian,25 - 45,Low,Male,0,-1,1,No,No
31,F,African-American,25 - 45,Low,Male,2,-43,1,Yes,Yes
22,F,African-American,Less than 25,Medium,Male,3,0,6,Yes,Yes
23,F,African-American,Less than 25,Medium,Male,0,-1,5,No,No
42,M,Caucasian,25 - 45,Low,Male,0,-1,4,No,No
30,M,African-American,25 - 45,High,Male,18,-1,10,No,No
29,F,African-American,25 - 45,High,Male,1,-1,9,No,No
38,F,Caucasian,25 - 45,Low,Male,2,0,4,Yes,Yes
26,M,Caucasian,25 - 45,Low,Male,3,-4,4,Yes,No
25,F,Hispanic,25 - 45,Medium,Female,4,-107,6,Yes,Yes
51,M,African-American,Greater than 45,Medium,Male,5,0,7,No,No
36,M,Other,25 - 45,Low,Male,0,0,1,No,No
62,M,Hispanic,Greater than 45,Low,Male,0,-2,1,No,No
23,F,African-American,Less than 25,Low,Male,0,0,3,Yes,Yes
34,F,African-American,25 - 45,Medium,Male,7,-1,5,Yes,Yes
35,M,African-American,25 - 45,Low,Male,1,-1,2,No,No
22,F,Caucasian,Less than 25,Low,Male,0,0,3,No,No
29,M,African-American,25 - 45,High,Male,10,-1,10,Yes,Yes
40,F,African-American,25 - 45,Low,Male,0,-3,2,No,No
36,F,African-American,25 - 45,Low,Male,2,0,2,No,No
26,F,African-American,25 - 45,High,Male,8,0,8,Yes,Yes
25,F,African-American,25 - 45,Low,Male,1,-23,3,Yes,Yes
69,M,Caucasian,Greater than 45,Low,Male,0,-3,1,No,No
27,F,African-American,25 - 45,Low,Male,1,-1,4,No,No
20,F,Caucasian,Less than 25,Medium,Male,0,0,5,Yes,Yes
27,F,African-American,25 - 45,Low,Male,1,-2,1,No,No
24,M,African-American,Less than 25,Medium,Female,6,-1,6,No,No
42,F,Caucasian,25 - 45,Low,Male,0,-7,1,No,No
25,F,Caucasian,25 - 45,Low,Male,1,-1,3,No,No
46,F,Caucasian,Greater than 45,Low,Male,1,-37,1,Yes,Yes
25,F,African-American,25 - 45,Low,Male,0,-1,4,No,No
22,F,African-American,Less than 25,Low,Male,0,-1,3,No,No
21,F,Caucasian,Less than 25,Low,Male,0,-1,4,No,No
30,M,African-American,25 - 45,Low,Male,1,0,2,No,No
46,M,Caucasian,Greater than 45,Medium,Male,9,0,5,No,No
26,M,African-American,25 - 45,Medium,Male,2,0,7,No,No
33,F,African-American,25 - 45,Medium,Male,0,0,5,Yes,Yes
40,M,African-American,25 - 45,Low,Male,1,-1,1,No,No
34,F,Caucasian,25 - 45,Low,Male,0,-1,4,No,No
22,F,Caucasian,Less than 25,Low,Male,1,-1,2,Yes,Yes
28,M,Hispanic,25 - 45,Medium,Male,3,-1,5,No,No
31,M,African-American,25 - 45,Low,Male,4,-1,3,Yes,Yes
59,M,Caucasian,Greater than 45,Low,Male,3,0,1,Yes,Yes
37,F,Native American,25 - 45,Low,Male,0,-1,2,No,No
50,F,African-American,Greater than 45,Low,Male,0,-1,1,No,No
21,F,Other,Less than 25,Low,Female,2,244,4,Yes,Yes
57,F,African-American,Greater than 45,Medium,Male,8,-1,5,Yes,Yes
31,M,African-American,25 - 45,Medium,Male,5,-1,5,Yes,No
44,F,African-American,25 - 45,High,Male,9,-28,8,No,No
48,F,African-American,Greater than 45,High,Male,5,-1,9,Yes,Yes
25,F,Caucasian,25 - 45,Low,Female,0,-1,4,No,No
51,M,African-American,Greater than 45,Low,Male,5,-1,3,No,No
50,F,Caucasian,Greater than 45,Low,Male,0,-1,1,Yes,Yes
57,F,Caucasian,Greater than 45,Low,Male,2,-11,1,No,No
55,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
59,F,African-American,Greater than 45,Low,Male,4,-2,3,Yes,Yes
42,F,African-American,25 - 45,Low,Female,0,0,1,No,No
20,F,Hispanic,Less than 25,High,Male,2,-21,8,Yes,Yes
58,F,African-American,Greater than 45,High,Male,16,-47,9,Yes,No
21,F,Other,Less than 25,Low,Male,0,-1,4,No,No
32,F,African-American,25 - 45,High,Male,21,-1,9,Yes,Yes
24,M,Hispanic,Less than 25,Low,Female,0,0,4,No,No
42,F,African-American,25 - 45,Low,Male,1,0,4,No,No
29,F,African-American,25 - 45,High,Male,8,-1,8,Yes,Yes
21,F,African-American,Less than 25,Medium,Male,1,-1,6,No,No
31,M,Caucasian,25 - 45,Low,Male,1,-356,2,Yes,Yes
58,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
22,F,African-American,Less than 25,Medium,Male,1,0,7,Yes,Yes
46,M,Caucasian,Greater than 45,Low,Male,1,-1,1,Yes,Yes
50,M,Caucasian,Greater than 45,Low,Male,0,0,2,Yes,Yes
46,F,African-American,Greater than 45,High,Male,2,-1,9,No,No
44,F,African-American,25 - 45,High,Female,11,-1,8,Yes,Yes
35,M,African-American,25 - 45,Medium,Male,4,-1,5,No,No
30,F,African-American,25 - 45,High,Male,14,-1,9,Yes,Yes
42,F,African-American,25 - 45,Medium,Male,2,-1,5,No,No
46,F,African-American,Greater than 45,Low,Male,5,-1,1,Yes,Yes
42,F,African-American,25 - 45,High,Male,0,0,10,Yes,Yes
37,F,African-American,25 - 45,Low,Male,12,-74,3,No,No
29,F,Caucasian,25 - 45,High,Male,7,-1,10,Yes,Yes
32,F,African-American,25 - 45,Low,Male,8,-1,4,No,No
31,F,Other,25 - 45,Medium,Male,5,-1,6,Yes,No
33,M,African-American,25 - 45,Low,Female,1,-1,1,No,No
25,F,Caucasian,25 - 45,Low,Male,4,-1,4,No,No
33,M,African-American,25 - 45,Low,Female,0,-1,1,No,No
21,F,Hispanic,Less than 25,Medium,Male,1,-1,5,No,No
64,M,Caucasian,Greater than 45,Low,Female,7,123,3,No,No
35,F,Caucasian,25 - 45,Low,Male,1,-1,1,Yes,Yes
56,F,African-American,Greater than 45,Low,Male,1,-22,1,No,No
38,M,Caucasian,25 - 45,Low,Male,0,-1,3,Yes,Yes
40,M,African-American,25 - 45,Low,Female,4,-1,1,No,No
34,F,African-American,25 - 45,Medium,Male,3,-105,7,No,No
28,F,African-American,25 - 45,Low,Male,4,-1,4,No,No
51,M,African-American,Greater than 45,Low,Male,0,-1,1,No,No
35,M,African-American,25 - 45,Low,Male,2,-1,2,No,No
61,F,African-American,Greater than 45,Low,Male,5,-13,2,No,No
25,F,African-American,25 - 45,Low,Male,0,0,3,No,No
25,F,African-American,25 - 45,Medium,Male,4,-1,7,Yes,Yes
26,M,African-American,25 - 45,Medium,Male,0,0,5,Yes,No
42,M,Caucasian,25 - 45,Low,Male,1,-1,1,No,No
25,F,African-American,25 - 45,Low,Female,1,-10,4,No,No
26,M,African-American,25 - 45,High,Male,13,-1,10,Yes,Yes
31,F,African-American,25 - 45,Medium,Male,9,-1,7,No,No
35,F,Caucasian,25 - 45,Low,Male,1,-1,2,No,No
41,F,African-American,25 - 45,Low,Female,4,-100,2,Yes,Yes
34,F,Caucasian,25 - 45,Low,Male,0,-1,1,No,No
46,M,Caucasian,Greater than 45,Low,Male,5,-93,1,No,No
33,M,Caucasian,25 - 45,Low,Female,1,-1,2,No,No
30,F,African-American,25 - 45,Low,Male,3,-1,2,Yes,No
50,M,African-American,Greater than 45,Low,Female,7,-1,4,No,No
21,F,African-American,Less than 25,Medium,Male,0,-1,5,No,No
31,F,Hispanic,25 - 45,High,Male,16,0,10,Yes,Yes
31,F,African-American,25 - 45,Medium,Male,2,-1,7,Yes,Yes
23,M,African-American,Less than 25,Low,Female,0,-1,4,No,No
25,F,African-American,25 - 45,Medium,Male,1,0,6,No,No
24,F,Caucasian,Less than 25,Medium,Female,1,-1,5,No,No
31,M,African-American,25 - 45,High,Male,13,-1,10,Yes,Yes
60,F,African-American,Greater than 45,Low,Male,0,-1,1,Yes,No
30,F,African-American,25 - 45,Low,Male,2,-1,2,No,No
32,M,Other,25 - 45,Low,Female,0,-1,1,No,No
46,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
21,M,Caucasian,Less than 25,Low,Male,0,-1,4,Yes,Yes
35,F,African-American,25 - 45,High,Male,0,-1,8,Yes,No
34,F,Hispanic,25 - 45,Low,Male,2,-1,3,Yes,Yes
41,F,Asian,25 - 45,High,Male,2,-1,8,Yes,Yes
40,M,African-American,25 - 45,Low,Female,7,-33,4,No,No
23,F,African-American,Less than 25,High,Male,1,-1,10,Yes,Yes
23,F,African-American,Less than 25,Medium,Male,3,-1,6,Yes,Yes
28,M,African-American,25 - 45,Low,Male,2,0,4,Yes,No
21,F,Hispanic,Less than 25,Low,Male,0,0,4,Yes,Yes
46,M,Caucasian,Greater than 45,Low,Male,2,-1,4,Yes,No
56,F,African-American,Greater than 45,Low,Male,1,-1,2,No,No
41,F,African-American,25 - 45,Medium,Male,19,-71,6,Yes,No
40,F,Hispanic,25 - 45,Medium,Male,8,-1,5,Yes,Yes
30,F,Hispanic,25 - 45,Low,Male,5,-1,3,Yes,Yes
24,M,African-American,Less than 25,Low,Male,1,-1,4,Yes,Yes
25,F,African-American,25 - 45,High,Male,7,507,8,No,No
33,M,Caucasian,25 - 45,Low,Female,0,-1,1,No,No
48,M,Caucasian,Greater than 45,High,Male,2,-1,8,Yes,No
33,F,African-American,25 - 45,Medium,Male,11,-1,6,Yes,Yes
25,F,Hispanic,25 - 45,Medium,Male,0,-1,7,No,No
25,F,Caucasian,25 - 45,High,Male,6,70,8,Yes,Yes
58,F,African-American,Greater than 45,Medium,Male,38,-112,7,Yes,Yes
30,F,African-American,25 - 45,Medium,Male,7,-1,5,Yes,Yes
37,F,Hispanic,25 - 45,Low,Male,0,-1,3,Yes,Yes
43,F,Caucasian,25 - 45,High,Female,7,-21,8,No,No
32,F,Caucasian,25 - 45,Low,Male,0,0,3,No,No
33,F,Other,25 - 45,Medium,Male,3,-1,7,No,No
39,F,Other,25 - 45,Low,Male,4,-30,2,Yes,Yes
49,F,Caucasian,Greater than 45,Low,Male,4,-11,1,No,No
24,F,Caucasian,Less than 25,Low,Male,0,-1,4,No,No
26,F,African-American,25 - 45,High,Male,1,0,9,No,No
42,F,Caucasian,25 - 45,Low,Male,0,-1,2,No,No
22,F,African-American,Less than 25,Medium,Male,1,-1,6,Yes,Yes
36,F,Hispanic,25 - 45,Low,Male,0,0,1,No,No
29,M,Caucasian,25 - 45,Medium,Male,7,-1,7,Yes,Yes
39,M,Caucasian,25 - 45,Low,Male,0,0,3,No,No
27,F,African-American,25 - 45,Medium,Male,13,0,6,Yes,Yes
38,F,Caucasian,25 - 45,Medium,Male,2,-1,5,Yes,Yes
20,F,Caucasian,Less than 25,Low,Male,0,-1,2,Yes,Yes
25,F,African-American,25 - 45,High,Male,4,-1,10,Yes,Yes
53,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
27,M,African-American,25 - 45,High,Female,0,-1,8,Yes,Yes
21,F,Other,Less than 25,Medium,Male,0,-1,5,Yes,Yes
50,M,Caucasian,Greater than 45,Low,Male,1,-1,1,Yes,Yes
41,F,African-American,25 - 45,Medium,Male,4,-1,5,No,No
34,F,African-American,25 - 45,Low,Male,4,378,2,Yes,Yes
22,F,Caucasian,Less than 25,High,Male,5,-2,8,Yes,Yes
22,F,Caucasian,Less than 25,Medium,Male,0,-1,7,Yes,Yes
25,F,African-American,25 - 45,Medium,Male,2,-1,5,No,No
42,F,African-American,25 - 45,Low,Male,1,-1,4,Yes,Yes
27,F,Caucasian,25 - 45,Low,Female,2,-34,3,No,No
51,F,Other,Greater than 45,Low,Male,2,-1,1,No,No
33,F,African-American,25 - 45,High,Male,23,525,9,Yes,Yes
24,F,African-American,Less than 25,Low,Male,0,0,3,No,No
37,F,African-American,25 - 45,Low,Male,4,0,4,No,No
37,M,Caucasian,25 - 45,Low,Male,0,-3,1,No,No
27,M,Other,25 - 45,Low,Female,0,-1,2,No,No
21,F,Other,Less than 25,Medium,Male,0,-1,6,No,No
35,F,African-American,25 - 45,Low,Male,1,0,1,Yes,Yes
24,F,Caucasian,Less than 25,High,Female,0,-1,8,No,No
49,M,Caucasian,Greater than 45,Low,Male,2,-1,1,No,No
38,F,African-American,25 - 45,Medium,Male,9,-5,6,No,No
61,M,Other,Greater than 45,Low,Male,0,-1,1,No,No
30,M,African-American,25 - 45,Low,Female,0,0,2,No,No
22,F,African-American,Less than 25,Medium,Male,3,-1,6,Yes,No
25,F,African-American,25 - 45,Medium,Male,0,-1,7,Yes,Yes
30,M,Hispanic,25 - 45,Low,Female,3,-1,3,Yes,Yes
52,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
26,F,Caucasian,25 - 45,Low,Male,0,-1,2,No,No
26,M,Other,25 - 45,Low,Male,0,-1,4,No,No
29,F,African-American,25 - 45,Medium,Male,6,-55,7,No,No
45,F,Caucasian,Greater than 45,High,Male,9,-1,9,Yes,Yes
20,F,African-American,Less than 25,High,Male,0,-1,9,Yes,Yes
29,F,African-American,25 - 45,High,Male,4,-1,8,Yes,No
43,F,Caucasian,25 - 45,Medium,Male,1,-1,6,Yes,Yes
26,F,Caucasian,25 - 45,Medium,Male,2,-1,5,No,No
46,F,African-American,Greater than 45,Low,Female,4,-1,4,No,No
46,F,African-American,Greater than 45,Low,Female,0,-1,1,No,No
39,F,Caucasian,25 - 45,Low,Male,8,-56,1,No,No
29,F,African-American,25 - 45,High,Male,12,-1,10,Yes,Yes
41,M,Caucasian,25 - 45,Low,Male,0,0,1,No,No
29,F,African-American,25 - 45,High,Male,11,-65,10,Yes,Yes
25,F,African-American,25 - 45,Medium,Female,5,-1,7,No,No
23,F,African-American,Less than 25,Medium,Male,2,-1,7,No,No
46,F,African-American,Greater than 45,High,Female,1,51,8,Yes,Yes
30,M,Caucasian,25 - 45,Low,Male,0,-1,3,No,No
34,F,Caucasian,25 - 45,Medium,Male,1,-1,6,No,No
70,F,Caucasian,Greater than 45,Low,Male,11,-13,1,Yes,Yes
52,F,Caucasian,Greater than 45,Low,Male,2,-1,1,No,No
51,M,African-American,Greater than 45,Low,Male,4,-26,2,Yes,No
45,F,Native American,Greater than 45,High,Female,15,-1,10,Yes,Yes
55,F,African-American,Greater than 45,Medium,Male,21,0,6,Yes,Yes
49,F,Caucasian,Greater than 45,Low,Female,1,-1,1,No,No
26,M,African-American,25 - 45,Medium,Female,9,404,6,Yes,Yes
47,F,Caucasian,Greater than 45,Low,Female,0,0,1,No,No
27,M,African-American,25 - 45,Low,Male,0,0,2,No,No
25,M,Caucasian,25 - 45,Medium,Male,5,-3,7,Yes,Yes
21,F,African-American,Less than 25,High,Male,1,0,10,Yes,Yes
37,F,African-American,25 - 45,High,Male,26,-1,10,Yes,Yes
21,F,African-American,Less than 25,High,Male,1,-1,9,Yes,Yes
21,F,African-American,Less than 25,Medium,Male,0,-2,6,No,No
25,F,African-American,25 - 45,High,Male,4,0,10,Yes,Yes
27,F,African-American,25 - 45,Medium,Female,3,-1,5,Yes,Yes
30,F,Caucasian,25 - 45,Low,Male,3,-1,4,Yes,Yes
70,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
37,F,Caucasian,25 - 45,High,Male,11,-1,9,Yes,Yes
46,F,African-American,Greater than 45,Medium,Male,5,0,5,Yes,Yes
40,M,Other,25 - 45,Low,Male,4,-1,1,Yes,Yes
20,F,African-American,Less than 25,High,Male,1,427,8,Yes,Yes
43,F,African-American,25 - 45,Low,Male,18,-1,4,Yes,Yes
38,F,African-American,25 - 45,Medium,Male,15,0,6,No,No
29,F,African-American,25 - 45,Low,Male,0,0,4,No,No
37,M,African-American,25 - 45,Low,Male,8,0,2,Yes,Yes
38,F,Hispanic,25 - 45,Low,Male,3,-21,4,No,No
27,F,Caucasian,25 - 45,Low,Female,0,-4,3,No,No
20,M,Other,Less than 25,Medium,Female,0,0,5,Yes,Yes
44,M,Hispanic,25 - 45,Low,Male,0,0,1,No,No
31,M,Caucasian,25 - 45,Medium,Male,6,-1,5,No,No
29,F,African-American,25 - 45,Low,Male,3,-1,2,Yes,Yes
48,F,Caucasian,Greater than 45,Medium,Male,13,-96,7,Yes,Yes
30,M,African-American,25 - 45,Low,Female,0,-1,2,No,No
25,F,Caucasian,25 - 45,Medium,Female,2,-25,5,Yes,Yes
40,F,African-American,25 - 45,Low,Male,3,-1,2,No,No
49,F,Caucasian,Greater than 45,Low,Female,3,1025,2,Yes,No
33,M,Caucasian,25 - 45,Low,Male,1,0,3,No,No
26,F,Caucasian,25 - 45,Medium,Male,5,-1,5,Yes,Yes
31,M,Hispanic,25 - 45,Low,Male,1,0,3,No,No
61,M,Caucasian,Greater than 45,Low,Male,1,-1,1,No,No
30,F,Caucasian,25 - 45,Low,Male,2,-1,4,No,No
62,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
27,M,Caucasian,25 - 45,High,Female,4,8,8,Yes,Yes
48,F,Caucasian,Greater than 45,Medium,Male,9,-1,6,No,No
40,F,Caucasian,25 - 45,Low,Female,0,-1,2,No,No
24,F,Caucasian,Less than 25,Low,Male,0,-1,4,No,No
22,F,African-American,Less than 25,Low,Male,0,-1,4,Yes,Yes
30,M,African-American,25 - 45,High,Male,4,-1,8,Yes,Yes
63,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
33,F,African-American,25 - 45,High,Male,4,-1,10,No,No
21,F,African-American,Less than 25,Medium,Female,1,81,6,Yes,Yes
43,M,Caucasian,25 - 45,Low,Male,0,-5,4,Yes,Yes
26,F,African-American,25 - 45,High,Male,3,0,10,Yes,Yes
51,F,African-American,Greater than 45,Low,Male,1,-17,1,No,No
39,F,Caucasian,25 - 45,Low,Male,3,-1,1,Yes,Yes
30,M,Hispanic,25 - 45,Low,Female,0,-1,3,Yes,Yes
32,F,African-American,25 - 45,High,Male,14,-1,8,Yes,Yes
22,M,African-American,Less than 25,Medium,Male,0,-2,6,No,No
59,F,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
38,M,African-American,25 - 45,Medium,Male,37,-1,7,Yes,Yes
23,F,African-American,Less than 25,Medium,Male,2,0,6,No,No
42,M,African-American,25 - 45,Low,Male,0,0,1,Yes,Yes
20,F,African-American,Less than 25,Low,Male,1,-37,3,Yes,Yes
38,F,African-American,25 - 45,Medium,Male,2,0,7,Yes,Yes
34,F,Caucasian,25 - 45,Low,Female,2,-1,3,No,No
36,F,African-American,25 - 45,Low,Female,7,-1,3,Yes,Yes
35,F,Caucasian,25 - 45,Low,Male,7,-86,4,Yes,Yes
36,M,African-American,25 - 45,Low,Male,0,-1,3,Yes,Yes
31,F,African-American,25 - 45,Low,Male,1,-14,1,No,No
28,F,African-American,25 - 45,Low,Female,3,-1,4,Yes,Yes
28,F,African-American,25 - 45,Low,Male,1,0,2,Yes,Yes
60,F,Caucasian,Greater than 45,Low,Male,3,-120,1,No,No
43,F,African-American,25 - 45,Low,Male,0,-1,4,No,No
40,F,African-American,25 - 45,Low,Male,1,-1,1,No,No
31,F,African-American,25 - 45,High,Male,15,-1,9,Yes,Yes
54,F,African-American,Greater than 45,Medium,Male,6,-1,7,Yes,Yes
24,F,African-American,Less than 25,High,Male,17,-1,9,Yes,Yes
41,F,Hispanic,25 - 45,Low,Male,0,-3,1,Yes,Yes
21,F,African-American,Less than 25,High,Male,1,-1,9,Yes,Yes
29,F,Hispanic,25 - 45,Low,Female,1,-1,2,Yes,Yes
22,F,African-American,Less than 25,Low,Male,0,-1,3,No,No
52,F,Hispanic,Greater than 45,Medium,Male,9,-1,7,Yes,Yes
40,F,Other,25 - 45,Low,Female,0,-1,1,No,No
21,F,Other,Less than 25,Low,Male,1,982,4,No,No
45,F,African-American,Greater than 45,Low,Female,1,-1,4,No,No
29,M,African-American,25 - 45,Low,Male,1,0,2,Yes,Yes
46,F,African-American,Greater than 45,Medium,Male,10,-1,5,Yes,Yes
21,F,Caucasian,Less than 25,High,Male,1,-1,8,No,No
35,F,Caucasian,25 - 45,Medium,Male,6,-10,5,Yes,Yes
52,M,African-American,Greater than 45,Low,Male,1,1,1,Yes,Yes
48,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
29,M,African-American,25 - 45,High,Female,9,-1,8,Yes,Yes
48,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
31,F,African-American,25 - 45,Medium,Male,10,-8,6,Yes,Yes
21,F,Caucasian,Less than 25,High,Male,3,-1,8,Yes,Yes
32,F,Other,25 - 45,Low,Male,0,0,1,Yes,Yes
47,M,African-American,Greater than 45,Medium,Male,0,-1,5,No,No
21,F,African-American,Less than 25,High,Male,3,-1,10,Yes,Yes
35,F,African-American,25 - 45,High,Male,13,-1,10,No,No
46,M,African-American,Greater than 45,Low,Male,3,-22,1,Yes,Yes
34,F,African-American,25 - 45,Low,Male,5,-1,4,Yes,Yes
52,F,African-American,Greater than 45,Low,Male,2,-5,1,No,No
39,F,African-American,25 - 45,Low,Female,7,114,2,No,No
21,M,Caucasian,Less than 25,High,Male,0,-1,8,Yes,Yes
53,M,Caucasian,Greater than 45,Low,Male,1,-2,1,No,No
19,F,Caucasian,Less than 25,Low,Female,0,-1,3,Yes,Yes
22,M,African-American,Less than 25,Medium,Male,0,-1,6,No,No
45,F,African-American,Greater than 45,Low,Male,1,-1,3,No,No
27,F,Caucasian,25 - 45,Low,Female,0,-1,2,No,No
25,M,Caucasian,25 - 45,Low,Male,0,-1,2,No,No
30,F,Caucasian,25 - 45,Low,Male,0,0,4,Yes,Yes
31,F,African-American,25 - 45,Medium,Male,2,0,5,Yes,Yes
28,F,Caucasian,25 - 45,Low,Male,3,-1,3,No,No
36,M,African-American,25 - 45,Low,Male,3,-1,2,Yes,Yes
27,F,African-American,25 - 45,Medium,Male,7,-1,5,Yes,Yes
42,F,African-American,25 - 45,Low,Male,1,0,2,No,No
35,F,Caucasian,25 - 45,Medium,Male,0,0,5,Yes,Yes
33,F,Caucasian,25 - 45,Low,Female,2,-29,2,No,No
24,F,Hispanic,Less than 25,High,Male,6,-1,10,Yes,Yes
25,F,African-American,25 - 45,High,Male,21,-14,10,Yes,Yes
42,M,Caucasian,25 - 45,Low,Female,0,-1,1,No,No
21,F,African-American,Less than 25,Medium,Male,0,-1,6,Yes,Yes
28,M,African-American,25 - 45,Low,Female,0,0,2,No,No
27,F,African-American,25 - 45,High,Male,25,18,10,Yes,Yes
21,F,Caucasian,Less than 25,Medium,Female,0,-1,6,No,No
26,M,Caucasian,25 - 45,Medium,Male,0,0,6,Yes,Yes
36,F,Caucasian,25 - 45,Low,Male,0,-1,1,No,No
23,M,African-American,Less than 25,High,Male,1,237,8,Yes,Yes
49,F,Caucasian,Greater than 45,Medium,Male,0,-1,7,Yes,Yes
29,F,African-American,25 - 45,High,Male,11,-68,8,Yes,Yes
44,F,Caucasian,25 - 45,Low,Male,0,-1,2,Yes,Yes
28,M,Caucasian,25 - 45,Low,Male,1,-25,3,No,No
27,M,African-American,25 - 45,Medium,Male,2,530,6,Yes,Yes
35,F,African-American,25 - 45,Medium,Female,12,-2,7,Yes,Yes
36,M,African-American,25 - 45,High,Male,19,544,8,Yes,Yes
46,M,Caucasian,Greater than 45,Low,Male,2,266,2,No,No
34,F,African-American,25 - 45,Low,Male,3,-1,1,No,No
45,F,African-American,Greater than 45,Low,Male,15,-1,3,Yes,Yes
28,F,African-American,25 - 45,Low,Male,9,-1,3,Yes,Yes
25,F,African-American,25 - 45,Low,Female,1,-1,3,No,No
21,M,African-American,Less than 25,High,Male,1,0,8,Yes,No
48,F,African-American,Greater than 45,Low,Male,1,-1,1,No,No
37,M,Caucasian,25 - 45,Low,Male,1,-1,2,No,No
24,F,African-American,Less than 25,Medium,Male,3,-3,6,Yes,Yes
37,M,Caucasian,25 - 45,Low,Male,1,-1,1,Yes,Yes
39,F,Caucasian,25 - 45,Low,Male,1,-3,3,No,No
24,F,Caucasian,Less than 25,Medium,Male,1,-1,5,Yes,Yes
49,F,Other,Greater than 45,Low,Male,2,-1,1,No,No
23,F,African-American,Less than 25,Low,Male,1,-1,2,Yes,Yes
36,F,Caucasian,25 - 45,Low,Male,4,-123,3,Yes,Yes
43,F,Caucasian,25 - 45,Medium,Male,5,-1,5,No,No
28,M,African-American,25 - 45,High,Male,6,-1,8,Yes,Yes
21,F,African-American,Less than 25,High,Female,4,122,10,Yes,Yes
53,M,African-American,Greater than 45,Low,Male,1,-1,2,No,No
27,M,African-American,25 - 45,Low,Female,2,-14,4,Yes,Yes
39,M,Caucasian,25 - 45,Low,Male,0,-1,1,No,No
47,F,African-American,Greater than 45,Medium,Male,22,-1,7,Yes,Yes
28,F,African-American,25 - 45,Low,Male,4,-1,2,Yes,Yes
36,F,Caucasian,25 - 45,Low,Male,2,-4,1,No,No
24,F,African-American,Less than 25,High,Female,1,-1,9,No,No
35,M,Hispanic,25 - 45,Low,Male,0,-1,2,No,No
23,F,African-American,Less than 25,Medium,Male,3,0,7,No,No
26,F,African-American,25 - 45,Low,Male,2,-1,2,No,No
31,F,African-American,25 - 45,Low,Male,7,-1,4,Yes,Yes
30,F,African-American,25 - 45,High,Female,14,0,10,Yes,Yes
25,M,Caucasian,25 - 45,Medium,Male,2,0,6,No,No
24,F,African-American,Less than 25,High,Male,6,0,10,Yes,Yes
34,F,Hispanic,25 - 45,Low,Male,1,-1,1,Yes,Yes
26,M,African-American,25 - 45,Low,Male,2,-29,4,No,No
26,M,African-American,25 - 45,High,Male,7,-49,8,No,No
60,F,Hispanic,Greater than 45,Low,Male,0,-1,1,No,No
20,F,African-American,Less than 25,Medium,Female,0,-1,5,No,No
36,M,Caucasian,25 - 45,High,Male,10,92,9,Yes,Yes
23,F,Caucasian,Less than 25,Low,Male,0,0,3,No,No
26,F,African-American,25 - 45,Medium,Male,5,-1,7,Yes,Yes
40,M,Caucasian,25 - 45,Low,Male,4,0,1,No,No
28,F,Other,25 - 45,Low,Male,1,-1,3,Yes,Yes
49,F,Hispanic,Greater than 45,Low,Male,1,-1,1,Yes,Yes
46,F,African-American,Greater than 45,Low,Male,8,400,3,Yes,Yes
19,F,African-American,Less than 25,High,Male,1,0,10,Yes,Yes
53,F,Caucasian,Greater than 45,Low,Male,1,-12,1,No,No
56,F,Caucasian,Greater than 45,Low,Male,5,-45,2,No,No
24,F,African-American,Less than 25,Low,Female,0,-1,3,No,No
31,F,Hispanic,25 - 45,Low,Male,0,-5,1,No,No
33,F,Caucasian,25 - 45,Low,Female,2,-1,3,No,No
26,F,Caucasian,25 - 45,High,Male,8,-1,10,Yes,Yes
56,M,Caucasian,Greater than 45,Low,Male,1,-65,1,No,No
32,F,Caucasian,25 - 45,Low,Male,2,-1,2,No,No
25,F,Caucasian,25 - 45,Low,Male,0,0,2,Yes,Yes
21,F,African-American,Less than 25,Low,Male,1,-1,2,No,No
38,F,African-American,25 - 45,Medium,Male,3,0,5,No,No
23,F,Caucasian,Less than 25,Low,Male,0,-4,2,Yes,No
20,F,Caucasian,Less than 25,Medium,Male,0,-1,6,Yes,Yes
39,F,Caucasian,25 - 45,Low,Female,4,-2,1,Yes,Yes
24,F,African-American,Less than 25,Low,Male,1,-1,2,Yes,Yes
